Name,Height,Zone,Easting,Northing,Latitude,Longitude,Points
Pokana Peak,1127,55G,4 33 900,52 87 420,-42.56279,146.19473,2
"Pollux, Mount",916,55G,4 50 180,52 06 350,-43.29403,146.38584,2
Precipitous Bluff,1145,55G,4 67 880,51 87 860,-43.46148,146.60295,9
Princes Peak,1028,55G,4 16 740,52 88 140,-42.55465,145.98581,4
Princess Range,682,55G,4 03 710,52 85 340,-42.57835,145.82665,2
Procyon Peak,1136,55G,4 39 840,52 23 670,-43.13732,146.26027,3
Projection Bluff,1257,55G,4 76 700,53 81 970,-41.71372,146.71991,1
Proprietary Peak,1104,55G,3 82 720,53 30 530,-42.16858,145.58014,1
Propsting Range,894,55G,4 09 540,52 31 700,-43.06201,145.88906,2
Prosser Sugarloaf,647,55G,5 67 590,52 75 175,-42.67293,147.82488,1
"Proteus, Mount",1152,55G,4 10 870,53 69 830,-41.8184,145.92683,1
Provis Hills,883,55G,4 58 320,51 92 640,-43.41797,146.48514,1
Pyramid Mountain,1259,55G,4 12 240,53 44 400,-42.04755,145.93954,2
Pyramid Peak,1080,55G,3 83 120,53 27 920,-42.19214,145.58445,1
Quamby Bluff,1228,55G,4 74 790,53 88 730,-41.65278,146.69724,2
Quoin Mountain,900,55G,5 22 920,52 89 540,-42.54619,147.27915,1
Ragged Jack,1369,55G,5 48 840,53 99 485,-41.55481,147.58566,2
Ragged Range,778,55G,4 43 550,52 64 670,-42.76842,146.31002,1
Raglan Range,1067,55G,3 99 380,53 34 390,-42.13615,145.78245,1
"Rallinga, Mount",645,55G,4 25 543,51 91 650,-43.42434,146.08016,1
"Ramsay, Mount",855,55G,3 70 990,53 95 030,-41.58601,145.45225,2
